Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/users?skip=36&limit=50,1,1,4.430082999533624,4.430082999533624,4.430082999533624,4.430082999533624,22.0,0.017151907866073037,0.017151907866073037,4,4,4,4,4,4,4,4,4,4,4
GET,/users?skip=37&limit=25,1,1,4.370417000245652,4.370417000245652,4.370417000245652,4.370417000245652,22.0,0.017151907866073037,0.017151907866073037,4,4,4,4,4,4,4,4,4,4,4
GET,/users?skip=37&limit=50,3,3,3,3.0329723331306013,2.433165999718767,3.494333999697119,22.0,0.05145572359821911,0.05145572359821911,3,3,3,3,3,3,3,3,3,3,3
GET,/users?skip=38&limit=10,2,2,3.3491249996586703,3.596916499645886,3.3491249996586703,3.8447079996331013,22.0,0.034303815732146074,0.034303815732146074,4,4,4,4,4,4,4,4,4,4,4
GET,/users?skip=38&limit=25,1,1,6.1052089995428105,6.1052089995428105,6.1052089995428105,6.1052089995428105,22.0,0.017151907866073037,0.017151907866073037,6,6,6,6,6,6,6,6,6,6,6
GET,/users?skip=4&limit=10,1,1,4.589707999912207,4.589707999912207,4.589707999912207,4.589707999912207,22.0,0.017151907866073037,0.017151907866073037,5,5,5,5,5,5,5,5,5,5,5
GET,/users?skip=41&limit=10,1,1,3.012499999385909,3.012499999385909,3.012499999385909,3.012499999385909,22.0,0.017151907866073037,0.017151907866073037,3,3,3,3,3,3,3,3,3,3,3
GET,/users?skip=41&limit=25,2,2,2,2.3579374997098057,1.734999999825959,2.9808749995936523,22.0,0.034303815732146074,0.034303815732146074,3,3,3,3,3,3,3,3,3,3,3
GET,/users?skip=44&limit=25,1,1,3.2112919998326106,3.2112919998326106,3.2112919998326106,3.2112919998326106,22.0,0.017151907866073037,0.017151907866073037,3,3,3,3,3,3,3,3,3,3,3
GET,/users?skip=45&limit=10,1,1,1.95929200071987,1.95929200071987,1.95929200071987,1.95929200071987,22.0,0.017151907866073037,0.017151907866073037,2,2,2,2,2,2,2,2,2,2,2
GET,/users?skip=46&limit=25,1,1,4.455500000403845,4.455500000403845,4.455500000403845,4.455500000403845,22.0,0.017151907866073037,0.017151907866073037,4,4,4,4,4,4,4,4,4,4,4
