Method,Name,Error,Occurrences
GET,/users?skip=15&limit=25,CatchResponseError('HTTP 404'),1
GET,/users?skip=27&limit=50,CatchResponseError('HTTP 404'),1
GET,/invoices?skip=44&limit=50,CatchResponseError('HTTP 404'),1
GET,/invoices?skip=84&limit=25,CatchResponseError('HTTP 404'),1
GET,/suppliers?limit=50,CatchResponseError('HTTP 404'),8
GET,/users?skip=90&limit=10,CatchResponseError('HTTP 404'),1
GET,/users?skip=65&limit=10,CatchResponseError('HTTP 404'),1
GET,/users?skip=72&limit=50,CatchResponseError('HTTP 404'),1
GET,/users?skip=14&limit=25,CatchResponseError('HTTP 404'),2
GET,/users?skip=158&limit=50,CatchResponseError('HTTP 404'),1
GET,/users?skip=180&limit=10,CatchResponseError('HTTP 404'),1
GET,/users?skip=35&limit=50,CatchResponseError('HTTP 404'),3
GET,/invoices?skip=36&limit=50,CatchResponseError('HTTP 404'),1
GET,/users?skip=37&limit=50,CatchResponseError('HTTP 404'),3
GET,/users?skip=36&limit=25,CatchResponseError('HTTP 404'),1
GET,/users?skip=5&limit=25,CatchResponseError('HTTP 404'),2
GET,/users?skip=23&limit=10,CatchResponseError('HTTP 404'),1
GET,/users?skip=14&limit=50,CatchResponseError('HTTP 404'),2
GET,/users?skip=125&limit=10,CatchResponseError('HTTP 404'),1
GET,/users?skip=55&limit=10,CatchResponseError('HTTP 404'),1
GET,/users?skip=50&limit=25,CatchResponseError('HTTP 404'),1
GET,/invoices?skip=94&limit=100,CatchResponseError('HTTP 404'),1
GET,/users?skip=89&limit=10,CatchResponseError('HTTP 404'),1
GET,/invoices?skip=61&limit=10,CatchResponseError('HTTP 404'),1
